CMDLINE /usr/local/bin/python3 app.py
MEM 71.203125 1737756029.1568
MEM 71.203125 1737756029.2608
MEM 71.203125 1737756029.3662
MEM 71.203125 1737756029.4719
MEM 71.203125 1737756029.5773
MEM 71.203125 1737756029.6808
MEM 71.203125 1737756029.7821
MEM 71.203125 1737756029.8853
MEM 71.203125 1737756029.9896
MEM 71.203125 1737756030.0951
MEM 71.203125 1737756030.2007
MEM 71.203125 1737756030.3074
MEM 71.203125 1737756030.4129
MEM 71.203125 1737756030.5184
MEM 71.203125 1737756030.6225
MEM 71.250000 1737756030.7280
MEM 71.250000 1737756030.8309
MEM 71.250000 1737756030.9364
MEM 71.250000 1737756031.0385
MEM 71.250000 1737756031.1443
MEM 71.250000 1737756031.2466
MEM 71.250000 1737756031.3484
MEM 71.250000 1737756031.4529
MEM 71.250000 1737756031.5585
MEM 71.250000 1737756031.6610
MEM 71.250000 1737756031.7666
MEM 71.250000 1737756031.8723
MEM 71.250000 1737756031.9779
MEM 71.250000 1737756032.0786
MEM 71.250000 1737756032.1842
MEM 71.250000 1737756032.2898
MEM 71.250000 1737756032.3921
MEM 71.250000 1737756032.4979
MEM 71.250000 1737756032.5996
MEM 71.250000 1737756032.7008
MEM 71.250000 1737756032.8061
MEM 71.250000 1737756032.9084
MEM 71.250000 1737756033.0123
MEM 71.250000 1737756033.1165
MEM 71.250000 1737756033.2172
MEM 71.250000 1737756033.3227
MEM 71.250000 1737756033.4281
MEM 71.250000 1737756033.5308
MEM 71.250000 1737756033.6317
MEM 71.250000 1737756033.7336
MEM 71.250000 1737756033.8382
MEM 71.250000 1737756033.9393
MEM 71.250000 1737756034.0409
MEM 71.250000 1737756034.1464
MEM 71.250000 1737756034.2508
MEM 71.250000 1737756034.3563
MEM 71.250000 1737756034.4618
MEM 71.250000 1737756034.5673
MEM 71.250000 1737756034.6696
MEM 71.250000 1737756034.7751
MEM 71.250000 1737756034.8807
MEM 71.250000 1737756034.9834
MEM 71.250000 1737756035.0846
MEM 71.250000 1737756035.1901
MEM 71.250000 1737756035.2953
MEM 71.250000 1737756035.4014
MEM 71.250000 1737756035.5052
MEM 71.250000 1737756035.6068
MEM 71.250000 1737756035.7126
MEM 71.250000 1737756035.8183
MEM 71.250000 1737756035.9200
MEM 71.250000 1737756036.0253
MEM 71.250000 1737756036.1312
MEM 71.250000 1737756036.2325
MEM 71.250000 1737756036.3359
MEM 71.250000 1737756036.4371
MEM 71.250000 1737756036.5423
MEM 71.250000 1737756036.6478
MEM 71.250000 1737756036.7510
MEM 71.250000 1737756036.8567
MEM 71.250000 1737756036.9608
MEM 71.250000 1737756037.0635
MEM 71.250000 1737756037.1692
MEM 71.250000 1737756037.2717
MEM 71.250000 1737756037.3763
MEM 71.250000 1737756037.4818
MEM 71.250000 1737756037.5877
MEM 71.250000 1737756037.6933
MEM 71.250000 1737756037.7989
MEM 71.250000 1737756037.9012
MEM 71.250000 1737756038.0027
MEM 71.250000 1737756038.1081
MEM 71.250000 1737756038.2137
MEM 71.250000 1737756038.3193
MEM 71.250000 1737756038.4249
MEM 71.250000 1737756038.5305
MEM 71.250000 1737756038.6360
MEM 71.250000 1737756038.7415
MEM 71.250000 1737756038.8453
MEM 71.250000 1737756038.9508
MEM 71.250000 1737756039.0564
MEM 71.250000 1737756039.1607
MEM 71.250000 1737756039.2652
MEM 71.250000 1737756039.3697
MEM 71.250000 1737756039.4752
MEM 71.250000 1737756039.5807
MEM 71.250000 1737756039.6863
MEM 71.250000 1737756039.7908
MEM 71.250000 1737756039.8963
MEM 71.250000 1737756039.9989
MEM 71.250000 1737756040.1032
MEM 71.250000 1737756040.2052
MEM 71.250000 1737756040.3068
MEM 71.250000 1737756040.4078
MEM 71.250000 1737756040.5107
MEM 71.250000 1737756040.6126
MEM 71.281250 1737756040.7180
MEM 71.281250 1737756040.8236
MEM 71.281250 1737756040.9243
MEM 71.281250 1737756041.0285
MEM 71.281250 1737756041.1334
MEM 71.281250 1737756041.2380
MEM 71.281250 1737756041.3406
MEM 71.281250 1737756041.4445
MEM 71.281250 1737756041.5482
MEM 71.281250 1737756041.6508
MEM 71.281250 1737756041.7566
MEM 71.281250 1737756041.8607
MEM 71.281250 1737756041.9625
MEM 71.281250 1737756042.0638
MEM 71.281250 1737756042.1694
MEM 71.281250 1737756042.2707
MEM 71.281250 1737756042.3725
MEM 71.281250 1737756042.4782
MEM 71.281250 1737756042.5791
MEM 71.281250 1737756042.6847
MEM 71.281250 1737756042.7903
MEM 71.281250 1737756042.8930
MEM 71.281250 1737756042.9940
MEM 71.281250 1737756043.0952
MEM 71.281250 1737756043.2007
MEM 71.281250 1737756043.3062
MEM 71.281250 1737756043.4093
MEM 71.281250 1737756043.5127
MEM 71.281250 1737756043.6180
MEM 71.281250 1737756043.7209
MEM 71.281250 1737756043.8264
MEM 71.281250 1737756043.9306
MEM 71.281250 1737756044.0361
MEM 71.281250 1737756044.1416
MEM 71.281250 1737756044.2473
MEM 71.281250 1737756044.3524
MEM 71.281250 1737756044.4542
MEM 71.281250 1737756044.5596
MEM 71.281250 1737756044.6612
MEM 71.281250 1737756044.7621
MEM 71.281250 1737756044.8682
MEM 71.281250 1737756044.9710
